"","participant","controllerName","trialNumber","V5","condition","item","region","word","rt","sentence","match","position","logrt"
"23378","14933e29134ae45dbac1e48feef8a532","EPDashedSentence",78,0,"HARPSICHORD-OBJ-Misma","15",1,"When",291,"When he came back from lunch%2C some of the interns avoided Caroline successfully by hiding in the secretary's office.","MM","o",5.67332326717149
"23392","14933e29134ae45dbac1e48feef8a532","EPDashedSentence",78,0,"HARPSICHORD-OBJ-Misma","15",2,"he",161,"When he came back from lunch%2C some of the interns avoided Caroline successfully by hiding in the secretary's office.","MM","o",5.08140436498446
"23393","14933e29134ae45dbac1e48feef8a532","EPDashedSentence",78,0,"HARPSICHORD-OBJ-Misma","15",3,"came back",270,"When he came back from lunch%2C some of the interns avoided Caroline successfully by hiding in the secretary's office.","MM","o",5.59842195899838
"23394","14933e29134ae45dbac1e48feef8a532","EPDashedSentence",78,0,"HARPSICHORD-OBJ-Misma","15",4,"from lunch%2C",236,"When he came back from lunch%2C some of the interns avoided Caroline successfully by hiding in the secretary's office.","MM","o",5.46383180502561
"23395","14933e29134ae45dbac1e48feef8a532","EPDashedSentence",78,0,"HARPSICHORD-OBJ-Misma","15",5,"some of the",917,"When he came back from lunch%2C some of the interns avoided Caroline successfully by hiding in the secretary's office.","MM","o",6.82110747225646
"23396","14933e29134ae45dbac1e48feef8a532","EPDashedSentence",78,0,"HARPSICHORD-OBJ-Misma","15",6,"interns",221,"When he came back from lunch%2C some of the interns avoided Caroline successfully by hiding in the secretary's office.","MM","o",5.39816270151775
"23397","14933e29134ae45dbac1e48feef8a532","EPDashedSentence",78,0,"HARPSICHORD-OBJ-Misma","15",7,"avoided",351,"When he came back from lunch%2C some of the interns avoided Caroline successfully by hiding in the secretary's office.","MM","o",5.86078622346587
"23398","14933e29134ae45dbac1e48feef8a532","EPDashedSentence",78,0,"HARPSICHORD-OBJ-Misma","15",8,"Caroline",1118,"When he came back from lunch%2C some of the interns avoided Caroline successfully by hiding in the secretary's office.","MM","o",7.01929665371504
"23399","14933e29134ae45dbac1e48feef8a532","EPDashedSentence",78,0,"HARPSICHORD-OBJ-Misma","15",9,"successfully",2154,"When he came back from lunch%2C some of the interns avoided Caroline successfully by hiding in the secretary's office.","MM","o",7.67508185771633
"23400","14933e29134ae45dbac1e48feef8a532","EPDashedSentence",78,0,"HARPSICHORD-OBJ-Misma","15",10,"by hiding",512,"When he came back from lunch%2C some of the interns avoided Caroline successfully by hiding in the secretary's office.","MM","o",6.23832462503951
"23401","14933e29134ae45dbac1e48feef8a532","EPDashedSentence",78,0,"HARPSICHORD-OBJ-Misma","15",11,"in",300,"When he came back from lunch%2C some of the interns avoided Caroline successfully by hiding in the secretary's office.","MM","o",5.7037824746562
"23402","14933e29134ae45dbac1e48feef8a532","EPDashedSentence",78,0,"HARPSICHORD-OBJ-Misma","15",12,"the secretary's",2261,"When he came back from lunch%2C some of the interns avoided Caroline successfully by hiding in the secretary's office.","MM","o",7.72356247227797
"23403","14933e29134ae45dbac1e48feef8a532","EPDashedSentence",78,0,"HARPSICHORD-OBJ-Misma","15",13,"office.",543,"When he came back from lunch%2C some of the interns avoided Caroline successfully by hiding in the secretary's office.","MM","o",6.29710931993394
"24040","14933e29134ae45dbac1e48feef8a532","EPDashedSentence",94,0,"HARPSICHORD-OBJ-Misma","19",1,"After",471,"After he heard the verdict%2C a number of supporters consoled Jennifer gently while her brother was led away.","MM","o",6.15485809401642
"24054","14933e29134ae45dbac1e48feef8a532","EPDashedSentence",94,0,"HARPSICHORD-OBJ-Misma","19",2,"he",772,"After he heard the verdict%2C a number of supporters consoled Jennifer gently while her brother was led away.","MM","o",6.64898455002478
"24055","14933e29134ae45dbac1e48feef8a532","EPDashedSentence",94,0,"HARPSICHORD-OBJ-Misma","19",3,"heard",782,"After he heard the verdict%2C a number of supporters consoled Jennifer gently while her brother was led away.","MM","o",6.66185474054531
"24056","14933e29134ae45dbac1e48feef8a532","EPDashedSentence",94,0,"HARPSICHORD-OBJ-Misma","19",4,"the verdict%2C",752,"After he heard the verdict%2C a number of supporters consoled Jennifer gently while her brother was led away.","MM","o",6.62273632394984
"24057","14933e29134ae45dbac1e48feef8a532","EPDashedSentence",94,0,"HARPSICHORD-OBJ-Misma","19",5,"a number of",951,"After he heard the verdict%2C a number of supporters consoled Jennifer gently while her brother was led away.","MM","o",6.85751406254539
"24058","14933e29134ae45dbac1e48feef8a532","EPDashedSentence",94,0,"HARPSICHORD-OBJ-Misma","19",6,"supporters",332,"After he heard the verdict%2C a number of supporters consoled Jennifer gently while her brother was led away.","MM","o",5.80513496891649
"24059","14933e29134ae45dbac1e48feef8a532","EPDashedSentence",94,0,"HARPSICHORD-OBJ-Misma","19",7,"consoled",541,"After he heard the verdict%2C a number of supporters consoled Jennifer gently while her brother was led away.","MM","o",6.29341927884648
"24060","14933e29134ae45dbac1e48feef8a532","EPDashedSentence",94,0,"HARPSICHORD-OBJ-Misma","19",8,"Jennifer",1228,"After he heard the verdict%2C a number of supporters consoled Jennifer gently while her brother was led away.","MM","o",7.11314210870709
"24061","14933e29134ae45dbac1e48feef8a532","EPDashedSentence",94,0,"HARPSICHORD-OBJ-Misma","19",9,"gently",907,"After he heard the verdict%2C a number of supporters consoled Jennifer gently while her brother was led away.","MM","o",6.81014245011514
"24062","14933e29134ae45dbac1e48feef8a532","EPDashedSentence",94,0,"HARPSICHORD-OBJ-Misma","19",10,"while",386,"After he heard the verdict%2C a number of supporters consoled Jennifer gently while her brother was led away.","MM","o",5.95583736946483
"24063","14933e29134ae45dbac1e48feef8a532","EPDashedSentence",94,0,"HARPSICHORD-OBJ-Misma","19",11,"her brother",937,"After he heard the verdict%2C a number of supporters consoled Jennifer gently while her brother was led away.","MM","o",6.84268328223842
"24064","14933e29134ae45dbac1e48feef8a532","EPDashedSentence",94,0,"HARPSICHORD-OBJ-Misma","19",12,"was",337,"After he heard the verdict%2C a number of supporters consoled Jennifer gently while her brother was led away.","MM","o",5.82008293035236
"24065","14933e29134ae45dbac1e48feef8a532","EPDashedSentence",94,0,"HARPSICHORD-OBJ-Misma","19",13,"led away.",3142,"After he heard the verdict%2C a number of supporters consoled Jennifer gently while her brother was led away.","MM","o",8.05261481881557
"24264","14933e29134ae45dbac1e48feef8a532","EPDashedSentence",30,0,"HARPSICHORD-OBJ-Misma","3",1,"After",251,"After he put out the campfire%2C some of the schoolboys dared Olivia excitedly to prank her oldest brother.","MM","o",5.52545293913178
"24278","14933e29134ae45dbac1e48feef8a532","EPDashedSentence",30,0,"HARPSICHORD-OBJ-Misma","3",2,"he",251,"After he put out the campfire%2C some of the schoolboys dared Olivia excitedly to prank her oldest brother.","MM","o",5.52545293913178
"24279","14933e29134ae45dbac1e48feef8a532","EPDashedSentence",30,0,"HARPSICHORD-OBJ-Misma","3",3,"put out",360,"After he put out the campfire%2C some of the schoolboys dared Olivia excitedly to prank her oldest brother.","MM","o",5.88610403145016
"24280","14933e29134ae45dbac1e48feef8a532","EPDashedSentence",30,0,"HARPSICHORD-OBJ-Misma","3",4,"the campfire%2C",362,"After he put out the campfire%2C some of the schoolboys dared Olivia excitedly to prank her oldest brother.","MM","o",5.89164421182577
"24281","14933e29134ae45dbac1e48feef8a532","EPDashedSentence",30,0,"HARPSICHORD-OBJ-Misma","3",5,"some of the",491,"After he put out the campfire%2C some of the schoolboys dared Olivia excitedly to prank her oldest brother.","MM","o",6.19644412779452
"24282","14933e29134ae45dbac1e48feef8a532","EPDashedSentence",30,0,"HARPSICHORD-OBJ-Misma","3",6,"schoolboys",310,"After he put out the campfire%2C some of the schoolboys dared Olivia excitedly to prank her oldest brother.","MM","o",5.73657229747919
"24283","14933e29134ae45dbac1e48feef8a532","EPDashedSentence",30,0,"HARPSICHORD-OBJ-Misma","3",7,"dared",398,"After he put out the campfire%2C some of the schoolboys dared Olivia excitedly to prank her oldest brother.","MM","o",5.98645200528444
"24284","14933e29134ae45dbac1e48feef8a532","EPDashedSentence",30,0,"HARPSICHORD-OBJ-Misma","3",8,"Olivia",370,"After he put out the campfire%2C some of the schoolboys dared Olivia excitedly to prank her oldest brother.","MM","o",5.91350300563827
"24285","14933e29134ae45dbac1e48feef8a532","EPDashedSentence",30,0,"HARPSICHORD-OBJ-Misma","3",9,"excitedly",1353,"After he put out the campfire%2C some of the schoolboys dared Olivia excitedly to prank her oldest brother.","MM","o",7.21007962817079
"24286","14933e29134ae45dbac1e48feef8a532","EPDashedSentence",30,0,"HARPSICHORD-OBJ-Misma","3",10,"to prank",310,"After he put out the campfire%2C some of the schoolboys dared Olivia excitedly to prank her oldest brother.","MM","o",5.73657229747919
"24287","14933e29134ae45dbac1e48feef8a532","EPDashedSentence",30,0,"HARPSICHORD-OBJ-Misma","3",11,"her oldest",461,"After he put out the campfire%2C some of the schoolboys dared Olivia excitedly to prank her oldest brother.","MM","o",6.13339804299665
"24288","14933e29134ae45dbac1e48feef8a532","EPDashedSentence",30,0,"HARPSICHORD-OBJ-Misma","3",12,"brother.",336,"After he put out the campfire%2C some of the schoolboys dared Olivia excitedly to prank her oldest brother.","MM","o",5.8171111599632
"24434","14933e29134ae45dbac1e48feef8a532","EPDashedSentence",126,0,"HARPSICHORD-OBJ-Misma","27",1,"When",342,"When he got to the construction site%2C a lot of workers approached Amanda immediately to report the supervisor's safety violations.","MM","o",5.8348107370626
"24448","14933e29134ae45dbac1e48feef8a532","EPDashedSentence",126,0,"HARPSICHORD-OBJ-Misma","27",2,"he",294,"When he got to the construction site%2C a lot of workers approached Amanda immediately to report the supervisor's safety violations.","MM","o",5.68357976733868
"24449","14933e29134ae45dbac1e48feef8a532","EPDashedSentence",126,0,"HARPSICHORD-OBJ-Misma","27",3,"got to",346,"When he got to the construction site%2C a lot of workers approached Amanda immediately to report the supervisor's safety violations.","MM","o",5.84643877505772
"24450","14933e29134ae45dbac1e48feef8a532","EPDashedSentence",126,0,"HARPSICHORD-OBJ-Misma","27",4,"the construction site%2C",511,"When he got to the construction site%2C a lot of workers approached Amanda immediately to report the supervisor's safety violations.","MM","o",6.2363695902037
"24451","14933e29134ae45dbac1e48feef8a532","EPDashedSentence",126,0,"HARPSICHORD-OBJ-Misma","27",5,"a lot of",712,"When he got to the construction site%2C a lot of workers approached Amanda immediately to report the supervisor's safety violations.","MM","o",6.56807791141198
"24452","14933e29134ae45dbac1e48feef8a532","EPDashedSentence",126,0,"HARPSICHORD-OBJ-Misma","27",6,"workers",336,"When he got to the construction site%2C a lot of workers approached Amanda immediately to report the supervisor's safety violations.","MM","o",5.8171111599632
"24453","14933e29134ae45dbac1e48feef8a532","EPDashedSentence",126,0,"HARPSICHORD-OBJ-Misma","27",7,"approached",1092,"When he got to the construction site%2C a lot of workers approached Amanda immediately to report the supervisor's safety violations.","MM","o",6.99576615630485
"24454","14933e29134ae45dbac1e48feef8a532","EPDashedSentence",126,0,"HARPSICHORD-OBJ-Misma","27",8,"Amanda",311,"When he got to the construction site%2C a lot of workers approached Amanda immediately to report the supervisor's safety violations.","MM","o",5.73979291217923
"24455","14933e29134ae45dbac1e48feef8a532","EPDashedSentence",126,0,"HARPSICHORD-OBJ-Misma","27",9,"immediately",667,"When he got to the construction site%2C a lot of workers approached Amanda immediately to report the supervisor's safety violations.","MM","o",6.50279004591562
"24456","14933e29134ae45dbac1e48feef8a532","EPDashedSentence",126,0,"HARPSICHORD-OBJ-Misma","27",10,"to report",1218,"When he got to the construction site%2C a lot of workers approached Amanda immediately to report the supervisor's safety violations.","MM","o",7.10496544826984
"24457","14933e29134ae45dbac1e48feef8a532","EPDashedSentence",126,0,"HARPSICHORD-OBJ-Misma","27",11,"the supervisor's",982,"When he got to the construction site%2C a lot of workers approached Amanda immediately to report the supervisor's safety violations.","MM","o",6.88959130835447
"24458","14933e29134ae45dbac1e48feef8a532","EPDashedSentence",126,0,"HARPSICHORD-OBJ-Misma","27",12,"safety",807,"When he got to the construction site%2C a lot of workers approached Amanda immediately to report the supervisor's safety violations.","MM","o",6.69332366826995
"24459","14933e29134ae45dbac1e48feef8a532","EPDashedSentence",126,0,"HARPSICHORD-OBJ-Misma","27",13,"violations.",1187,"When he got to the construction site%2C a lot of workers approached Amanda immediately to report the supervisor's safety violations.","MM","o",7.07918439460967
"24653","14933e29134ae45dbac1e48feef8a532","EPDashedSentence",105,0,"HARPSICHORD-OBJ-Match","22",1,"While",279,"While she waited backstage%2C several models congratulated Victoria graciously on the success of her student's collection.","M","o",5.63121178182137
"24667","14933e29134ae45dbac1e48feef8a532","EPDashedSentence",105,0,"HARPSICHORD-OBJ-Match","22",2,"she",210,"While she waited backstage%2C several models congratulated Victoria graciously on the success of her student's collection.","M","o",5.34710753071747
"24668","14933e29134ae45dbac1e48feef8a532","EPDashedSentence",105,0,"HARPSICHORD-OBJ-Match","22",3,"waited",226,"While she waited backstage%2C several models congratulated Victoria graciously on the success of her student's collection.","M","o",5.42053499927229
"24669","14933e29134ae45dbac1e48feef8a532","EPDashedSentence",105,0,"HARPSICHORD-OBJ-Match","22",4,"backstage%2C",261,"While she waited backstage%2C several models congratulated Victoria graciously on the success of her student's collection.","M","o",5.56452040732269
"24670","14933e29134ae45dbac1e48feef8a532","EPDashedSentence",105,0,"HARPSICHORD-OBJ-Match","22",5,"several",1198,"While she waited backstage%2C several models congratulated Victoria graciously on the success of her student's collection.","M","o",7.08840877867539
"24671","14933e29134ae45dbac1e48feef8a532","EPDashedSentence",105,0,"HARPSICHORD-OBJ-Match","22",6,"models",432,"While she waited backstage%2C several models congratulated Victoria graciously on the success of her student's collection.","M","o",6.06842558824411
"24672","14933e29134ae45dbac1e48feef8a532","EPDashedSentence",105,0,"HARPSICHORD-OBJ-Match","22",7,"congratulated",686,"While she waited backstage%2C several models congratulated Victoria graciously on the success of her student's collection.","M","o",6.53087762772588
"24673","14933e29134ae45dbac1e48feef8a532","EPDashedSentence",105,0,"HARPSICHORD-OBJ-Match","22",8,"Victoria",417,"While she waited backstage%2C several models congratulated Victoria graciously on the success of her student's collection.","M","o",6.0330862217988
"24674","14933e29134ae45dbac1e48feef8a532","EPDashedSentence",105,0,"HARPSICHORD-OBJ-Match","22",9,"graciously",319,"While she waited backstage%2C several models congratulated Victoria graciously on the success of her student's collection.","M","o",5.76519110278484
"24675","14933e29134ae45dbac1e48feef8a532","EPDashedSentence",105,0,"HARPSICHORD-OBJ-Match","22",10,"on",446,"While she waited backstage%2C several models congratulated Victoria graciously on the success of her student's collection.","M","o",6.10031895202006
"24676","14933e29134ae45dbac1e48feef8a532","EPDashedSentence",105,0,"HARPSICHORD-OBJ-Match","22",11,"the success",276,"While she waited backstage%2C several models congratulated Victoria graciously on the success of her student's collection.","M","o",5.62040086571715
"24677","14933e29134ae45dbac1e48feef8a532","EPDashedSentence",105,0,"HARPSICHORD-OBJ-Match","22",12,"of",331,"While she waited backstage%2C several models congratulated Victoria graciously on the success of her student's collection.","M","o",5.80211837537706
"24678","14933e29134ae45dbac1e48feef8a532","EPDashedSentence",105,0,"HARPSICHORD-OBJ-Match","22",13,"her student's",496,"While she waited backstage%2C several models congratulated Victoria graciously on the success of her student's collection.","M","o",6.20657592672493
"24679","14933e29134ae45dbac1e48feef8a532","EPDashedSentence",105,0,"HARPSICHORD-OBJ-Match","22",14,"collection.",1649,"While she waited backstage%2C several models congratulated Victoria graciously on the success of her student's collection.","M","o",7.4079243225596
"25152","14933e29134ae45dbac1e48feef8a532","EPDashedSentence",110,0,"HARPSICHORD-OBJ-Misma","23",1,"While",266,"While he was mowing the lawn%2C a number of neighbors waved at Nicole happily from behind Frank's hedges.","MM","o",5.5834963087817
"25166","14933e29134ae45dbac1e48feef8a532","EPDashedSentence",110,0,"HARPSICHORD-OBJ-Misma","23",2,"he",180,"While he was mowing the lawn%2C a number of neighbors waved at Nicole happily from behind Frank's hedges.","MM","o",5.19295685089021
"25167","14933e29134ae45dbac1e48feef8a532","EPDashedSentence",110,0,"HARPSICHORD-OBJ-Misma","23",3,"was mowing",321,"While he was mowing the lawn%2C a number of neighbors waved at Nicole happily from behind Frank's hedges.","MM","o",5.77144112313002
"25168","14933e29134ae45dbac1e48feef8a532","EPDashedSentence",110,0,"HARPSICHORD-OBJ-Misma","23",4,"the lawn%2C",326,"While he was mowing the lawn%2C a number of neighbors waved at Nicole happily from behind Frank's hedges.","MM","o",5.78689738136671
"25169","14933e29134ae45dbac1e48feef8a532","EPDashedSentence",110,0,"HARPSICHORD-OBJ-Misma","23",5,"a number of",1002,"While he was mowing the lawn%2C a number of neighbors waved at Nicole happily from behind Frank's hedges.","MM","o",6.90975328164481
"25170","14933e29134ae45dbac1e48feef8a532","EPDashedSentence",110,0,"HARPSICHORD-OBJ-Misma","23",6,"neighbors",892,"While he was mowing the lawn%2C a number of neighbors waved at Nicole happily from behind Frank's hedges.","MM","o",6.79346613258001
"25171","14933e29134ae45dbac1e48feef8a532","EPDashedSentence",110,0,"HARPSICHORD-OBJ-Misma","23",7,"waved at",435,"While he was mowing the lawn%2C a number of neighbors waved at Nicole happily from behind Frank's hedges.","MM","o",6.07534603108868
"25172","14933e29134ae45dbac1e48feef8a532","EPDashedSentence",110,0,"HARPSICHORD-OBJ-Misma","23",8,"Nicole",312,"While he was mowing the lawn%2C a number of neighbors waved at Nicole happily from behind Frank's hedges.","MM","o",5.74300318780948
"25173","14933e29134ae45dbac1e48feef8a532","EPDashedSentence",110,0,"HARPSICHORD-OBJ-Misma","23",9,"happily",380,"While he was mowing the lawn%2C a number of neighbors waved at Nicole happily from behind Frank's hedges.","MM","o",5.94017125272043
